"Source","Target","flights_count","flight_year"
"KGSO","FA54","1.0","2020"
"LFPG","LDZA","1.0","2020"
"KTUL","KCGF","1.0","2020"
"KCVG","KCLE","1.0","2020"
"KAVQ","57AZ","3.0","2020"
"KAKR","KIAH","1.0","2020"
"EDDN","EDDV","1.0","2020"
"KANP","3MD8","1.0","2020"
"KBUR","KIZA","1.0","2020"
"3PN9","PN66","1.0","2020"
"LIME","LIRE","1.0","2020"
"KMCI","KDPA","1.0","2020"
"KORS","9WA7","1.0","2020"
"73KY","KLOU","1.0","2020"
"KPDK","KDKX","2.0","2020"
"KDFW","92TA","1.0","2020"
"KHSV","FD83","2.0","2020"
"NZAR","NZWJ","1.0","2020"
"KSFO","KMHR","2.0","2020"
"KMGY","KSGH","1.0","2020"
"8MN5","MY89","1.0","2020"
"KCAK","KATL","1.0","2020"
"KRNT","04WA","1.0","2020"
"KX39","5FL0","1.0","2020"
"KOSU","71NC","1.0","2020"
"KDTW","KSLC","1.0","2020"
"KHEF","KVUJ","1.0","2020"
"YSCB","YGLB","1.0","2020"
"50TA","85TE","1.0","2020"
"KCLT","CT39","1.0","2020"
"KC15","KGYY","1.0","2020"
"KPHX","KMEV","1.0","2020"
"KCOE","WA21","1.0","2020"
"2OL2","KTUL","2.0","2020"
"3NC6","KZ98","1.0","2020"
"KSKA","KSKA","1.0","2020"
"LKLT","LKPM","1.0","2020"
"KSGU","34CO","1.0","2020"
"KEHO","3NC4","1.0","2020"
"KHWO","KEVB","1.0","2020"
"EKOD","EKAE","1.0","2020"
"VTBD","WMSA","1.0","2020"
"KCNO","KSLI","2.0","2020"
"AL97","8FD3","1.0","2020"
"KFMY","1FA9","1.0","2020"
"KT82","KADS","1.0","2020"
"KRDU","KEZF","1.0","2020"
"EDMA","ETHA","1.0","2020"
"EGOQ","EGOQ","1.0","2020"
"KIWA","5LL5","1.0","2020"
"K49A","4GA9","1.0","2020"
"KENW","KMDW","1.0","2020"
"KORF","6NC9","1.0","2020"
"K3T5","TX61","1.0","2020"
"YMML","YBCG","1.0","2020"
"YSSY","KLAX","1.0","2020"
"EYVI","LKPR","1.0","2020"
"KPHX","KAPA","1.0","2020"
"KHGR","90NY","1.0","2020"
"KMCO","58OH","1.0","2020"
"6PA0","KBDR","1.0","2020"
"WT77","KBVS","1.0","2020"
"PN01","7PS7","1.0","2020"
"EDBM","EDNZ","1.0","2020"
"KEWR","42VT","1.0","2020"
"VMMC","ZGSD","1.0","2020"
"KATL","KATL","15.0","2020"
"KDCA","KMCO","2.0","2020"
"KCLT","KLGA","26.0","2020"
"KCLW","KTMB","1.0","2020"
"ELLX","RCTP","5.0","2020"
