"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","avg_cases_per_week_14","population","avg_cases_population_ratio_per_week_14","covid19_percentage_label"
"LFSK","Vitry Le François Vauclerc Airfield","small_airport","48.7033","4.68444","FR","FRA","France","Europe","46.227638","2.213749","2513861.4285714286","67564251.0","3.720697545468873","3.72%"
"LIDE","Reggio Emilia Airport","small_airport","44.698299","10.6628","IT","ITA","Italy","Europe","41.87194","12.56738","1917915.5","60461828.0","3.172109682161777","3.17%"
"LIRZ","Perugia San Francesco d'Assisi – Umbria International Airport","medium_airport","43.095901","12.5132","IT","ITA","Italy","Europe","41.87194","12.56738","1917915.5","60461828.0","3.172109682161777","3.17%"
"LKBE","Benešov Airport","small_airport","49.74079895019531","14.644700050354004","CZ","CZE","Czech Republic","Europe","49.817492","15.472962","785416.3571428572","10708982.0","7.3341831851324155","7.33%"
"LPVL","Vilar de Luz Airfield","medium_airport","41.27729","-8.516209","PT","PRT","Portugal","Europe","39.399872","-8.224454","417292.78571428574","10196707.0","4.092426954253818","4.09%"
"LQJL","Tuzla Jegin Lug Sport Airfield","small_airport","44.4578018188","18.8083000183","BA","BIH","Bosnia and Herzegovina","Europe","43.915886","17.679076","90244.0","3280815.0","2.7506579919928433","2.75%"
"LTAE","Akıncı Air Base","medium_airport","40.078899383499994","32.5656013489","TR","TUR","Turkey","Europe","38.963745","35.243322","1853976.7142857143","84339067.0","2.198241906429572","2.20%"
"LTBP","Yalova Airport","small_airport","40.68439865112305","29.375699996948242","TR","TUR","Turkey","Europe","38.963745","35.243322","1853976.7142857143","84339067.0","2.198241906429572","2.20%"
"LTFM","İstanbul Airport","large_airport","41.261297","28.741951","TR","TUR","Turkey","Europe","38.963745","35.243322","1853976.7142857143","84339067.0","2.198241906429572","2.20%"
"NK82","Engineers Airport","small_airport","43.31589889526367","-76.01490020751953","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"NR02","Jordan Field","small_airport","35.237778","-79.995556","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"OG00","3 Rivers Recreation Area Airport","small_airport","44.556757","-121.405696","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"OI11","Hibbetts Airport","small_airport","40.637298583984375","-81.11260223388672","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"PN06","Carlson Airport","small_airport","41.904202","-80.1026","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"RJNG","Gifu Airport","medium_airport","35.394100189208984","136.8699951171875","JP","JPN","Japan","Asia","36.204824","138.252924","249655.64285714287","126476458.0","0.19739297479151643","0.20%"
"SBME","Macaé Airport","medium_airport","-22.343000412","-41.7659988403","BR","BRA","Brazil","South America","-14.235004","-51.92528","6638797.714285715","212559409.0","3.123266923594859","3.12%"
"SC75","Oolenoy Valley Airport","small_airport","34.998199462890625","-82.73490142822266","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"SNPA","Pará de Minas Airport","small_airport","-19.842599868774414","-44.601200103759766","BR","BRA","Brazil","South America","-14.235004","-51.92528","6638797.714285715","212559409.0","3.123266923594859","3.12%"
"TX93","Wright Ranch Airport","small_airport","32.16680145263672","-97.83360290527344","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"XS11","Idlewild Airport","small_airport","29.777899","-99.361407","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"XS21","H & S Airfield","small_airport","29.331100463867188","-95.70469665527344","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"YLOY","Longwarry Airport","small_airport","-38.108299255371094","145.7779998779297","AU","AUS","Australia","Oceania","-25.274398","133.775136","17228.85714285714","25499881.0","0.06756446095908111","0.07%"
"YMEY","Mullaley Airport","small_airport","-31.100000381469727","149.91700744628906","AU","AUS","Australia","Oceania","-25.274398","133.775136","17228.85714285714","25499881.0","0.06756446095908111","0.07%"
"YNGB","Nagambie Airport","small_airport","-36.73830032348633","145.125","AU","AUS","Australia","Oceania","-25.274398","133.775136","17228.85714285714","25499881.0","0.06756446095908111","0.07%"
"YTBG","Talbingo Airport","small_airport","-35.58330154418945","148.2830047607422","AU","AUS","Australia","Oceania","-25.274398","133.775136","17228.85714285714","25499881.0","0.06756446095908111","0.07%"
"YTYA","Tyabb Airport","small_airport","-38.266700744599994","145.175003052","AU","AUS","Australia","Oceania","-25.274398","133.775136","17228.85714285714","25499881.0","0.06756446095908111","0.07%"
"YTYH","Tyagarah Airport","small_airport","-28.5946960394","153.551101685","AU","AUS","Australia","Oceania","-25.274398","133.775136","17228.85714285714","25499881.0","0.06756446095908111","0.07%"
"02MU","Timber Line Airpark","closed","36.654233","-93.797418","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"07VT","Meadow STOLport","small_airport","44.447200775146484","-72.91470336914062","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"0MS8","Catfish Point Airport","small_airport","33.69929885864258","-91.16510009765625","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"10XS","Flying S Air Ranch Airport","small_airport","31.779499053955078","-98.9093017578125","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"1AZ0","Mobile Airport","small_airport","33.111900329589844","-112.26899719238281","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"1OA4","Kepes Flying Field","small_airport","39.92359924316406","-83.66169738769531","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"20TA","Mag Drop Airport","small_airport","33.559167","-96.409444","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"2XS6","Foster Ranch Airport","small_airport","29.722533","-99.574673","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"30NY","Coye Field","small_airport","42.750099182128906","-77.55809783935547","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"34OI","Snoddy Air Strip","small_airport","40.69449996948242","-82.1178970336914","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"39PN","Nelson's Run Airport","small_airport","41.21590042114258","-80.19760131835938","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"40OI","M.C.R. Airport","small_airport","41.06169891357422","-81.98359680175781","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"4AK2","St John Homestead Airport","small_airport","61.55799865722656","-149.4239959716797","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"4IL4","Kuebler RLA Restricted Landing Area","small_airport","39.0564002991","-88.8161010742","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"5TX1","Harley White Field","small_airport","31.861299514770508","-98.2594985961914","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
