"flight_date","dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2019-04-04","5","A319","EBBR","LIRF","2"
"2019-04-04","5","A321","LEBB","EDDM","2"
"2019-04-04","5","B738","LCLK","ENSI","1"
"2019-04-04","5","S22T","EPBC","EYVI","1"
"2019-04-04","5","","EGMC","LIPS","1"
"2019-04-04","5","A333","OBBI","VHHH","1"
"2019-04-04","5","DH8D","KBOS","CYTZ","2"
"2019-04-04","5","GLEX","LIML","UUWW","1"
"2019-04-04","5","B77W","OMDB","OETH","4"
"2019-04-04","5","D328","EHRD","ETSI","1"
"2019-04-04","5","E75S","LIRF","DAAG","2"
"2019-04-04","5","B789","EGLL","MMMX","1"
"2019-04-04","5","A319","LKPR","EDDL","2"
"2019-04-04","5","CRJ1","KJWN","CYYZ","1"
"2019-04-04","5","B77L","FABA","OTHH","1"
"2019-04-04","5","B736","CYYC","KJFK","1"
"2019-04-04","5","A321","EGLL","LGAV","2"
"2019-04-04","5","E75S","LFPO","LIML","1"
"2019-04-04","5","C525","KTEB","CYYZ","1"
"2019-04-04","5","A333","OLBA","LTBA","1"
"2019-04-04","5","A320","CYVR","KDEN","1"
"2019-04-04","5","B738","EGPH","LZIB","1"
"2019-04-04","5","B77W","KSFO","RCPO","2"
"2019-04-04","5","","EGGW","LIMN","1"
"2019-04-04","5","E140","CYYZ","KJFK","1"
"2019-04-04","5","A321","LPFR","EIWT","1"
"2019-04-04","5","B77W","OERK","LFPG","1"
"2019-04-05","6","","VIDP","OMSJ","1"
"2019-04-05","6","","RKSI","CYYZ","1"
"2019-04-05","6","E75S","KEWR","CYYZ","3"
"2019-04-05","6","A388","KLAX","EDDM","1"
"2019-04-05","6","B734","EBLG","LIDW","1"
"2019-04-05","6","","KJFK","EDDL","1"
"2019-04-05","6","B744","RJTK","RKSS","1"
"2019-04-05","6","A319","EDDS","LOWW","2"
"2019-04-05","6","BCS3","EVRA","LOWW","2"
"2019-04-05","6","A320","LEMD","EGLL","5"
"2019-04-05","6","B788","OTHH","OLBA","1"
"2019-04-05","6","A321","EFHK","ESSA","2"
"2019-04-05","6","B738","ESSA","LFPG","2"
"2019-04-05","6","","KJFK","RPLL","1"
"2019-04-05","6","","EGPF","LIRF","1"
"2019-04-05","6","A320","EDDM","EGPF","1"
"2019-04-05","6","BCS3","EDDT","EVRA","1"
"2019-04-05","6","","LEBL","LIMC","1"
"2019-04-05","6","A320","LOWW","EDDM","4"
"2019-04-05","6","B77L","LIMC","OTHH","1"
"2019-04-05","6","A320","ENGM","EDDF","2"
"2019-04-05","6","B77W","EGLL","KDFW","1"
"2019-04-05","6","B77L","MMMX","8TX7","2"
"2019-04-05","6","A319","EBBR","LJLJ","1"
"2019-04-05","6","B738","EGKK","EIWT","4"
"2019-04-05","6","B763","RCTP","RJBB","1"
"2019-04-05","6","B738","CYUL","KOPF","1"
"2019-04-05","6","A321","LSGG","EGLL","2"
"2019-04-05","6","AT76","EINN","EGPH","1"
"2019-04-05","6","DH8D","EETN","EVRA","2"
"2019-04-05","6","A318","LFPG","LIDP","1"
"2019-04-05","6","CRJ7","KORD","CYUL","1"
"2019-04-05","6","","LTFJ","EDDF","1"
"2019-04-05","6","B738","EDDK","EKCH","1"
"2019-04-05","6","A320","EIDW","LFBD","1"
"2019-04-05","6","A333","LTBA","KIAD","1"
"2019-04-05","6","AT76","ESSA","EFTP","2"
"2019-04-05","6","A321","EIDW","EDDF","1"
"2019-04-05","6","B738","OMDB","EFHK","1"
"2019-04-05","6","A320","LIML","EGKK","1"
"2019-04-05","6","A319","LFPG","EGSS","1"
"2019-04-05","6","A320","EIDW","LIMC","1"
"2019-04-05","6","","LOWW","LIMC","1"
"2019-04-05","6","B738","LTFJ","EGSS","1"
"2019-04-05","6","B738","EDDM","LEMG","1"
"2019-04-05","6","","LIMC","ELLX","1"
"2019-04-05","6","B738","LKPR","UUWW","1"
"2019-04-05","6","A319","LSGG","EGGW","1"
"2019-04-05","6","B738","LFPO","EKCH","1"
"2019-04-05","6","A388","UUDD","OMDB","1"
"2019-04-05","6","B77W","LFPG","FAGM","1"
"2019-04-05","6","B752","KPHL","EIWT","1"
"2019-04-05","6","A332","YBBN","NZAA","1"
"2019-04-06","7","A332","YSSY","RJBB","1"
"2019-04-06","7","A332","KJFK","LIMC","1"
"2019-04-06","7","A333","CYYZ","EHAM","1"
"2019-04-06","7","B752","KJFK","BIKF","1"
"2019-04-06","7","B734","EBBR","LIME","1"
"2019-04-06","7","A321","LOWW","EDDF","2"
"2019-04-06","7","B77W","RKSI","UUEE","1"
"2019-04-06","7","A321","LPPT","LFPG","2"
"2019-04-06","7","","LSGG","LEMD","2"
"2019-04-06","7","E195","LOWW","LSGG","1"
"2019-04-06","7","A321","ESSA","LIRF","1"
"2019-04-06","7","B77L","EDCT","VTBS","1"
"2019-04-06","7","A321","VHHH","RJBB","1"
"2019-04-06","7","A320","EGBB","EDDM","2"
"2019-04-06","7","A320","EGLL","BIKF","1"
"2019-04-06","7","A319","EGGW","LFLS","1"
"2019-04-06","7","A320","LIRF","EDDT","1"
