"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","cases_per_week_14","population","covid19_percentage","covid19_percentage_label","report_year"
"KLRY","Lawrence Smith Memorial Airport","small_airport","38.611000061035156","-94.34210205078125","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KWLW","Willows Glenn County Airport","small_airport","39.51639938","-122.2180023","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"07MD","Baugher's Orchard Airport","small_airport","39.608299255371094","-77.0519027709961","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KPRG","Edgar County Airport","small_airport","39.700199127197266","-87.66960144042969","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"TS36","Silver Wings Airport","small_airport","30.219600677490234","-99.14080047607422","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"LFNT","Aérodrome d'Avignon-Pujaut","small_airport","43.996899","4.75556","FR","FRA","France","Europe","46.227638","2.213749","5119585.0","67564251.0","7.57735773611995","7.58%","2021"
"MI27","Haigh Airport","small_airport","42.61249923706055","-83.8541030883789","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"4IS8","Leigh Farm Airport","small_airport","40.02170181274414","-89.55010223388672","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"PS11","Mc Cardle Farm Airport","small_airport","40.6453018188","-77.55529785159999","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"9CL2","Christensen Ranch Airport","small_airport","36.87160110473633","-121.33699798583984","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"8WI6","Funk Aerodrome","small_airport","44.60969924926758","-87.65290069580078","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"NZRT","Rangiora Airfield","small_airport","-43.290000915527344","172.54200744628906","NZ","NZL","New Zealand","Oceania","-40.900557","174.885971","2583.0","4822233.0","0.053564396411372076","0.05%","2021"
"CSR3","Victoriaville Airport","small_airport","46.11280059814453","-71.92890167236328","CA","CAN","Canada","North America","56.130366","-106.346771","1067764.0","37742157.0","2.8291016859476263","2.83%","2021"
"62TA","Hawken Air One Airport","small_airport","30.318768","-97.30306","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
