"flight_date","flight_dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2020-03-30","2","SW4","KONT","KIPL","1"
"2020-03-30","2","B350","YBBN","YAMB","1"
"2020-03-30","2","B738","FD83","KSAN","1"
"2020-03-30","2","A319","KCMH","KDFW","1"
"2020-03-30","2","A320","KSAN","KPHX","1"
"2020-03-30","2","B736","CYYJ","CYYC","1"
"2020-03-30","2","","KAND","GA06","1"
"2020-03-30","2","","EBLG","LPPR","1"
"2020-03-30","2","","VHHH","RCTP","1"
"2020-03-30","2","","VHHH","OTHH","2"
"2020-03-30","2","","YLYK","YPPF","2"
"2020-03-30","2","","OTHH","OTHH","2"
"2020-03-30","2","","EGKA","EGHH","1"
"2020-03-30","2","","UUDD","UNNT","3"
"2020-03-30","2","","KDCA","KSEA","1"
"2020-03-30","2","","4FL1","KPGD","1"
"2020-03-30","2","","LIMB","LIPO","1"
"2020-03-30","2","","KAUS","KSAN","1"
"2020-03-30","2","","TN73","KBNA","1"
"2020-03-30","2","","KHYA","KHGR","1"
"2020-03-30","2","","KDFW","KPRX","1"
"2020-03-30","2","","KLKU","VG07","1"
"2020-03-30","2","","KVNC","4FL8","1"
"2020-03-30","2","","KSUS","KK39","1"
"2020-03-30","2","","KSEE","KSEE","11"
"2020-03-30","2","","KSEA","KSJC","2"
"2020-03-30","2","","KSBP","KSEA","1"
"2020-03-30","2","","KDVT","KSEZ","1"
"2020-03-30","2","","KIPL","58CL","1"
"2020-03-30","2","","KCPM","KFUL","1"
"2020-03-30","2","","EDDF","EDDT","1"
"2020-03-30","2","","KTPF","FD77","1"
"2020-03-30","2","","KBED","KISO","1"
"2020-03-30","2","","KRDU","KATL","1"
"2020-03-30","2","","13IA","34WI","1"
"2020-03-31","3","","YPJT","YPJT","31"
"2020-03-31","3","","KRHV","KLVK","1"
"2020-03-31","3","C208","KOAR","KOAK","1"
"2020-03-31","3","B738","KSTL","KX04","2"
"2020-03-31","3","E75L","KSFO","KLAS","2"
"2020-03-31","3","AT76","RCQC","RCKH","7"
"2020-03-31","3","","KFFZ","KAVQ","8"
"2020-03-31","3","B762","KAUS","KUTA","1"
"2020-03-31","3","E145","KDCA","KROC","2"
"2020-03-31","3","CRJ9","KDTW","KASH","2"
"2020-03-31","3","AS50","KSNA","KSNA","5"
"2020-03-31","3","","SBKP","KFLL","1"
"2020-03-31","3","B737","KMCI","KDEN","1"
"2020-03-31","3","E75L","KSNA","KSFO","2"
"2020-03-31","3","B738","KDEN","KRIR","1"
"2020-03-31","3","A320","OTHH","LROP","1"
"2020-03-31","3","B737","KOAK","KLAS","2"
"2020-03-31","3","AT75","EFHK","EFOU","2"
"2020-03-31","3","C208","KMDQ","KPDK","1"
"2020-03-31","3","","VTBS","LSZH","1"
"2020-03-31","3","","YBCS","YBBN","1"
"2020-03-31","3","B752","KSDF","KPVD","1"
"2020-03-31","3","E35L","BIKF","KIAD","1"
"2020-03-31","3","B762","KSTL","KONT","1"
"2020-03-31","3","B739","KFLL","KSFO","1"
"2020-03-31","3","B733","EBLG","EDFH","1"
"2020-03-31","3","BE40","KIKV","FA37","1"
"2020-03-31","3","A319","EDDL","LOWW","1"
"2020-03-31","3","CRJ7","KSBP","KLAX","1"
"2020-03-31","3","","SN59","KFOE","1"
"2020-03-31","3","","58FD","58FD","1"
"2020-03-31","3","B763","KSAN","KUTA","1"
"2020-03-31","3","A320","KSEA","KRIR","1"
"2020-03-31","3","","KP19","KP19","1"
"2020-03-31","3","EC45","EDSB","EDTO","1"
"2020-03-31","3","B738","KLAX","KBNA","3"
"2020-03-31","3","A320","KTPA","KATL","1"
"2020-03-31","3","LJ55","KAPA","KAPA","1"
"2020-03-31","3","AS50","KBUR","KVNY","1"
"2020-03-31","3","A320","KSAN","KIAD","1"
"2020-03-31","3","","KL35","KLGB","1"
"2020-03-31","3","","KGXY","K11V","2"
"2020-03-31","3","G650","WSSS","VHHH","1"
"2020-03-31","3","AS50","KMOD","KLSN","1"
"2020-03-31","3","","KANP","VA71","1"
"2020-03-31","3","B738","KPHX","KBUF","1"
"2020-03-31","3","AS50","0CL3","0CL3","2"
"2020-03-31","3","","OMDB","OMDW","1"
"2020-03-31","3","","05TE","KBMQ","1"
"2020-03-31","3","B350","KPDK","KGVL","1"
"2020-03-31","3","C25A","KPIE","KMSN","1"
"2020-03-31","3","","KSBD","KLGB","1"
"2020-03-31","3","","4GA9","K49A","1"
"2020-03-31","3","B738","KISP","KATL","1"
"2020-03-31","3","BE18","7AK6","PANC","1"
"2020-03-31","3","E145","KDTW","KPHL","1"
"2020-03-31","3","B407","5TX0","K4T2","1"
"2020-03-31","3","C208","YSBK","YSWG","1"
"2020-03-31","3","CRJ9","KMSP","46IA","1"
"2020-03-31","3","","XS92","K52F","1"
"2020-03-31","3","","KPGD","KFMY","2"
"2020-03-31","3","A319","SBBR","SBRJ","1"
"2020-03-31","3","A320","SBGR","SBVT","1"
"2020-03-31","3","G200","KDAL","NE42","1"
"2020-03-31","3","","KTUL","KEFD","1"
"2020-03-31","3","E55P","UUWW","EDDB","1"
"2020-03-31","3","B350","YSSY","YSCB","1"
"2020-03-31","3","B737","KCLT","KDAL","1"
"2020-03-31","3","E190","KRSW","KDCA","1"
"2020-03-31","3","","KX06","KPMP","1"
