"Source","Target","flights_count"
"UKBB","LOWW","1.0"
"EDFH","KJFK","1.0"
"LEMD","RPLL","4.0"
"EGGD","LFPB","1.0"
"KSFO","CYYZ","10.0"
"TVSA","TBPB","2.0"
"LFBO","LIME","1.0"
"LEMD","OMAD","1.0"
"KCVG","YSSY","1.0"
"EGNX","EGNS","1.0"
"BIKF","EPWA","2.0"
"VHHH","71KY","1.0"
"RJBB","RKSI","20.0"
"EFHK","RJTT","5.0"
"UUEE","LIMC","1.0"
"CYOW","KORD","2.0"
"RKSI","VHHH","63.0"
"UUEE","VTBS","1.0"
"LEVC","LFML","2.0"
"EGTK","ENBR","1.0"
"KDEN","CYYC","4.0"
"KNEL","OMAM","1.0"
"WSSS","OMSJ","5.0"
"EHRD","LIMJ","1.0"
"EDDM","EGDW","1.0"
"EDDF","UUDD","1.0"
"VIDP","OTHH","3.0"
"LIMC","EYVI","1.0"
"CYYB","KPIE","1.0"
"LCLK","EDDS","1.0"
"EDVK","LSZH","1.0"
"LPPT","EGGW","1.0"
"RKSI","CYVR","6.0"
"KATL","CYYZ","11.0"
"KSDF","CYYZ","5.0"
"EPRZ","EINN","2.0"
"LEAL","EGSS","1.0"
"ZGSZ","UUEE","3.0"
"KMIA","SKMA","26.0"
"OTHH","UUDD","3.0"
"MROC","KATL","2.0"
"LFPG","RJBB","2.0"
"EDDP","LFBO","1.0"
"TBPB","KFLL","1.0"
"LFPO","LEBL","2.0"
"OTBH","EGUN","4.0"
"LSZH","KEWR","3.0"
"LOWG","EDDH","1.0"
"LSZH","EDDG","1.0"
"CYUL","XS89","1.0"
"KIAH","NZAA","1.0"
"EDDM","LIRF","3.0"
"LFPG","EDDF","17.0"
"RCTP","VTBS","36.0"
"YMML","VHHH","7.0"
"SBKP","SAEZ","5.0"
"LEMD","EBBR","8.0"
"LIMC","EGLL","3.0"
"CYHM","KCMH","1.0"
"SKMA","KSAN","1.0"
"WBSB","WSSS","3.0"
"LEZG","ENGM","1.0"
"LSZH","LGAV","2.0"
"EDDM","LEBL","2.0"
"LJLJ","LDZK","1.0"
"UUDD","ZGSZ","1.0"
"ETAR","OBBS","1.0"
"EDDF","KDFW","1.0"
"LJLJ","EDDM","2.0"
"CYVR","2WA3","1.0"
"OTHH","LKPR","4.0"
"LEZL","EGSS","1.0"
"EIDW","EDDL","3.0"
"RPLL","WMKK","3.0"
"KMIA","EPKK","1.0"
"EINN","EGNJ","1.0"
"LSGG","LFLY","1.0"
"LGAV","UAAA","3.0"
"KOAK","RKSI","1.0"
"OBBI","VOCI","1.0"
"LEJR","EDDF","1.0"
"CYVR","KAPA","1.0"
"CYUL","KORD","21.0"
"LEMD","EBLG","6.0"
"KIAH","CYYZ","6.0"
"RPLL","RKSI","10.0"
"EDDE","EKBI","4.0"
"RJBB","KLAX","3.0"
"LIPZ","ETAR","1.0"
"CYYZ","EHAM","4.0"
"NZAA","KHHR","2.0"
"CYMX","KCVG","5.0"
"EDDM","EBBR","2.0"
"EDDF","KSEA","4.0"
"KDTW","EHAM","3.0"
"OTHH","RKSI","10.0"
"OMDB","VOCI","1.0"
