"Source","Target","Weight"
"KFOK","KPHL","1.0"
"LOWW","KLDJ","3.0"
"CYPQ","CTN7","3.0"
"YMEN","YPKL","2.0"
"KMCI","KPHL","11.0"
"KNUQ","KFCH","1.0"
"PN62","KCLT","2.0"
"EKCH","EKRA","11.0"
"KTEB","KHOU","9.0"
"FL19","KCGC","1.0"
"LFPG","KHWO","2.0"
"KLAL","KMSN","1.0"
"KJFK","LTBW","11.0"
"KVAY","KVAY","8.0"
"KRNM","KMCC","4.0"
"KIAD","EGLL","42.0"
"KMSN","KLGA","9.0"
"LFKF","LFLL","1.0"
"KIAD","KSIF","7.0"
"LSZM","EGGW","7.0"
"KRDU","KORL","3.0"
"9KS1","KOJC","1.0"
"K88R","K3R9","1.0"
"8NK3","42NY","1.0"
"EDDG","EDMO","1.0"
"KDTO","KDAL","4.0"
"4GA0","KCTY","1.0"
"EDTX","EDDT","1.0"
"30GA","KRSV","1.0"
"MY35","KIAD","1.0"
"KXNA","KCLT","8.0"
"KSLC","UT54","4.0"
"KDFW","RJAH","1.0"
"KSFO","81GA","8.0"
"KADS","KLXY","1.0"
"LIMC","VMMC","3.0"
"KEWR","KPHX","37.0"
"KRIU","KMHR","1.0"
"KIAD","K7SP","2.0"
"96FL","K24J","1.0"
"KHPN","KMGJ","3.0"
"EKCH","EBCI","9.0"
"KSEA","KPHL","20.0"
"EDDW","EDTO","1.0"
"LEZL","LFPG","9.0"
"1PA6","1PN0","1.0"
"EGLL","EPKK","2.0"
"KORD","KRAC","19.0"
"KCDW","KISP","3.0"
"LTFJ","UGTB","1.0"
"KSWF","KMDT","4.0"
"KOAR","KMOD","2.0"
"YTMS","YSTW","1.0"
"KXLL","K22N","1.0"
"KOPF","KEWR","8.0"
"EBCI","LFCR","1.0"
"KHSD","3KS1","1.0"
"LTBA","FARA","2.0"
"EGAC","EGNT","1.0"
"LFKF","LFML","9.0"
"VNKT","VOBL","3.0"
"KW45","90VA","1.0"
"YBLD","YYRK","6.0"
"KRNO","KSAN","12.0"
"EGLF","CYYZ","1.0"
"KSFO","KVUO","16.0"
"KSEA","KIAH","7.0"
"KCOS","KU42","4.0"
"OTBD","WMSA","1.0"
"LEZL","LIDP","2.0"
"70IL","KSTL","4.0"
"VHHH","VOBL","3.0"
"KFXE","KHSD","1.0"
"EPPW","EPPW","4.0"
"KSTS","KHHR","5.0"
"KFRG","KIAD","6.0"
"KEWR","CYTZ","16.0"
"LFPO","GOGS","2.0"
"LEBB","LFPG","4.0"
"KMRB","WV61","1.0"
"KLAF","KOXI","1.0"
"EDDH","LILV","1.0"
"KBWI","KIAH","4.0"
"KLVK","KCCR","2.0"
"EPWA","EPPO","4.0"
"KALB","KBWI","19.0"
"KLAL","11MA","2.0"
"YLED","YMPC","1.0"
"KIAD","PA20","1.0"
"KBKV","KBKV","2.0"
"EHBK","EDDF","3.0"
"YBBN","YSCH","6.0"
